oID	descriptor	value	sigma
180	INTENSITY/STRENGTH	16.714	26.504
262	INTENSITY/STRENGTH	36.816	33.934
264	INTENSITY/STRENGTH	86.98	13.587
323	INTENSITY/STRENGTH	59.163	30.851
702	INTENSITY/STRENGTH	10.612	22.681
750	INTENSITY/STRENGTH	9.6735	19.123
753	INTENSITY/STRENGTH	11.857	22.168
962	INTENSITY/STRENGTH	15.694	25.916
1031	INTENSITY/STRENGTH	16.939	26.839
3102	INTENSITY/STRENGTH	16.959	27.215
3314	INTENSITY/STRENGTH	73.102	23.452
5862	INTENSITY/STRENGTH	15.878	26.549
5962	INTENSITY/STRENGTH	54.878	32.473
6274	INTENSITY/STRENGTH	9.5918	18.744
6322	INTENSITY/STRENGTH	7.3265	16.372
6506	INTENSITY/STRENGTH	5.9388	16.286
6544	INTENSITY/STRENGTH	54.551	30.016
6561	INTENSITY/STRENGTH	79.245	22.513
6669	INTENSITY/STRENGTH	46.143	34.72
7092	INTENSITY/STRENGTH	61.286	30.031
7137	INTENSITY/STRENGTH	39.816	30.489
7302	INTENSITY/STRENGTH	38.408	36.78
7476	INTENSITY/STRENGTH	40.694	30.075
7559	INTENSITY/STRENGTH	69.245	25.3
7657	INTENSITY/STRENGTH	14.735	23.115
7770	INTENSITY/STRENGTH	65.694	26.337
7793	INTENSITY/STRENGTH	73.163	26.107
7797	INTENSITY/STRENGTH	64.061	27.755
8025	INTENSITY/STRENGTH	3.9592	13.514
8049	INTENSITY/STRENGTH	6.4898	14.59
8094	INTENSITY/STRENGTH	78.204	22.793
8419	INTENSITY/STRENGTH	27.367	29.825
8438	INTENSITY/STRENGTH	35.612	31.626
8468	INTENSITY/STRENGTH	16.592	27.362
8815	INTENSITY/STRENGTH	57.816	28.235
8878	INTENSITY/STRENGTH	51.837	31.114
9012	INTENSITY/STRENGTH	62.551	28.035
10886	INTENSITY/STRENGTH	13.49	24.451
11567	INTENSITY/STRENGTH	68.224	30.759
12020	INTENSITY/STRENGTH	42.51	35.679
12265	INTENSITY/STRENGTH	69.449	26.262
12377	INTENSITY/STRENGTH	80.796	20.084
15654	INTENSITY/STRENGTH	81.061	20.891
16537	INTENSITY/STRENGTH	32.714	32.369
17898	INTENSITY/STRENGTH	88.041	13.525
18467	INTENSITY/STRENGTH	64.551	32.491
21363	INTENSITY/STRENGTH	65.837	27.325
27440	INTENSITY/STRENGTH	84.286	22.706
31219	INTENSITY/STRENGTH	47.082	33.458
31276	INTENSITY/STRENGTH	51.265	34.451
31283	INTENSITY/STRENGTH	5.2653	14.87
60998	INTENSITY/STRENGTH	48.531	32.029
61523	INTENSITY/STRENGTH	48.878	33.044
62089	INTENSITY/STRENGTH	62.367	29.733
62351	INTENSITY/STRENGTH	80.857	23.869
62465	INTENSITY/STRENGTH	77.306	19.341
251531	INTENSITY/STRENGTH	39.449	32.361
440917	INTENSITY/STRENGTH	21.061	25.101
637758	INTENSITY/STRENGTH	53.592	34.211
853433	INTENSITY/STRENGTH	82.082	15.237
1549025	INTENSITY/STRENGTH	5.2041	13.293
2733294	INTENSITY/STRENGTH	62.286	27.732
5281167	INTENSITY/STRENGTH	82.837	16.281
5281168	INTENSITY/STRENGTH	62.612	30.372
5318599	INTENSITY/STRENGTH	66.898	28.345
5352837	INTENSITY/STRENGTH	74.143	21.508
5364231	INTENSITY/STRENGTH	66.082	29.534
5371102	INTENSITY/STRENGTH	44.612	32.748
10857465	INTENSITY/STRENGTH	42.184	33.674
180	VALENCE/PLEASANTNESS	55.438	23.997
262	VALENCE/PLEASANTNESS	51.147	25.52
264	VALENCE/PLEASANTNESS	22.857	28.1
323	VALENCE/PLEASANTNESS	66.551	26.175
702	VALENCE/PLEASANTNESS	58.667	22.588
750	VALENCE/PLEASANTNESS	58.905	22.622
753	VALENCE/PLEASANTNESS	50.643	29.806
962	VALENCE/PLEASANTNESS	52.12	21.32
1031	VALENCE/PLEASANTNESS	51	20.208
3102	VALENCE/PLEASANTNESS	38.271	24.177
3314	VALENCE/PLEASANTNESS	67.958	23.791
5862	VALENCE/PLEASANTNESS	14.409	20.98
5962	VALENCE/PLEASANTNESS	18.729	24.142
6274	VALENCE/PLEASANTNESS	34.071	27.253
6322	VALENCE/PLEASANTNESS	45.765	24.583
6506	VALENCE/PLEASANTNESS	40.973	19.291
6544	VALENCE/PLEASANTNESS	51.444	25.789
6561	VALENCE/PLEASANTNESS	23.776	22.744
6669	VALENCE/PLEASANTNESS	64.167	22.741
7092	VALENCE/PLEASANTNESS	41.745	31.375
7137	VALENCE/PLEASANTNESS	59.909	26.122
7302	VALENCE/PLEASANTNESS	28.184	19.73
7476	VALENCE/PLEASANTNESS	52.796	29.208
7559	VALENCE/PLEASANTNESS	41.102	30.237
7657	VALENCE/PLEASANTNESS	67.061	27.786
7770	VALENCE/PLEASANTNESS	40.653	26.575
7793	VALENCE/PLEASANTNESS	54.102	29.499
7797	VALENCE/PLEASANTNESS	64.283	24.511
8025	VALENCE/PLEASANTNESS	36.051	26.151
8049	VALENCE/PLEASANTNESS	72.5	20.422
8094	VALENCE/PLEASANTNESS	21.163	20.212
8419	VALENCE/PLEASANTNESS	75.375	21.338
8438	VALENCE/PLEASANTNESS	71.837	22.333
8468	VALENCE/PLEASANTNESS	53.889	27.737
8815	VALENCE/PLEASANTNESS	58.255	23.507
8878	VALENCE/PLEASANTNESS	74.167	19.526
9012	VALENCE/PLEASANTNESS	25.083	25.497
10886	VALENCE/PLEASANTNESS	43.375	27.899
11567	VALENCE/PLEASANTNESS	47	30.193
12020	VALENCE/PLEASANTNESS	42.25	29.086
12265	VALENCE/PLEASANTNESS	53.625	26.28
12377	VALENCE/PLEASANTNESS	37.102	26.843
15654	VALENCE/PLEASANTNESS	20.122	21.152
16537	VALENCE/PLEASANTNESS	36.795	25.977
17898	VALENCE/PLEASANTNESS	35.531	34.614
18467	VALENCE/PLEASANTNESS	36.674	28.614
21363	VALENCE/PLEASANTNESS	30.783	21.941
27440	VALENCE/PLEASANTNESS	15.915	18.918
31219	VALENCE/PLEASANTNESS	68.524	22.144
31276	VALENCE/PLEASANTNESS	59.698	24.671
31283	VALENCE/PLEASANTNESS	53.075	24.95
60998	VALENCE/PLEASANTNESS	43.432	29.487
61523	VALENCE/PLEASANTNESS	52.044	22.122
62089	VALENCE/PLEASANTNESS	27.708	25.286
62351	VALENCE/PLEASANTNESS	26.979	26.159
62465	VALENCE/PLEASANTNESS	41.812	26.903
251531	VALENCE/PLEASANTNESS	59.581	25.74
440917	VALENCE/PLEASANTNESS	53.657	19.371
637758	VALENCE/PLEASANTNESS	55.349	25.081
853433	VALENCE/PLEASANTNESS	68.449	27.347
1549025	VALENCE/PLEASANTNESS	50.191	25.259
2733294	VALENCE/PLEASANTNESS	42.447	29.034
5281167	VALENCE/PLEASANTNESS	53.531	31.146
5281168	VALENCE/PLEASANTNESS	32.894	25.734
5318599	VALENCE/PLEASANTNESS	35.312	27.872
5352837	VALENCE/PLEASANTNESS	61.312	27.852
5364231	VALENCE/PLEASANTNESS	54.612	25.441
5371102	VALENCE/PLEASANTNESS	48.581	26.915
10857465	VALENCE/PLEASANTNESS	56.435	26.993
180	BAKERY	3.375	13.368
262	BAKERY	14.176	27.665
264	BAKERY	0.55102	2.7162
323	BAKERY	19.49	34.751
702	BAKERY	7.8333	22.257
750	BAKERY	4.8571	19.317
753	BAKERY	0	0
962	BAKERY	2.6	13
1031	BAKERY	1.8667	7.9426
3102	BAKERY	1.7083	9.3626
3314	BAKERY	13	26.879
5862	BAKERY	1.1364	5.3769
5962	BAKERY	0.3125	2.0228
6274	BAKERY	3.2143	16.172
6322	BAKERY	5	20.616
6506	BAKERY	0.24324	1.3209
6544	BAKERY	0.84444	4.2101
6561	BAKERY	1.449	9.998
6669	BAKERY	0	0
7092	BAKERY	3.3617	16.415
7137	BAKERY	6.6364	20.984
7302	BAKERY	0.78947	3.5195
7476	BAKERY	16.347	26.96
7559	BAKERY	0.28571	1.8597
7657	BAKERY	14.204	31.534
7770	BAKERY	2.2857	10.73
7793	BAKERY	0.10204	0.71429
7797	BAKERY	5.8913	21.062
8025	BAKERY	1.9487	7.4867
8049	BAKERY	6.9318	22.032
8094	BAKERY	0.020408	0.14286
8419	BAKERY	31.062	34.255
8438	BAKERY	25.163	36.077
8468	BAKERY	11.2	26.171
8815	BAKERY	5.7447	16.131
8878	BAKERY	4.0833	15.095
9012	BAKERY	3.5417	16.895
10886	BAKERY	4.375	15.407
11567	BAKERY	3.625	14.488
12020	BAKERY	3.45	13.202
12265	BAKERY	17.625	28.874
12377	BAKERY	2.7551	11.519
15654	BAKERY	0.28571	1.8597
16537	BAKERY	1.1026	6.8855
17898	BAKERY	16.306	30.108
18467	BAKERY	5.9783	17.689
21363	BAKERY	2.8696	13.284
27440	BAKERY	1.0213	5.1096
31219	BAKERY	1.119	4.1036
31276	BAKERY	7.814	20.679
31283	BAKERY	2.5	13.587
60998	BAKERY	3.7955	16.278
61523	BAKERY	2.4667	8.7895
62089	BAKERY	0.083333	0.57735
62351	BAKERY	0.79167	4.5381
62465	BAKERY	6.5	19.33
251531	BAKERY	0.60465	3.6589
440917	BAKERY	1.6857	5.5135
637758	BAKERY	2.2558	9.472
853433	BAKERY	21.286	34.823
1549025	BAKERY	1.383	8.2239
2733294	BAKERY	0.021277	0.14586
5281167	BAKERY	0.91837	4.2517
5281168	BAKERY	0.51064	2.2829
5318599	BAKERY	3.3542	15.835
5352837	BAKERY	1.4167	9.6686
5364231	BAKERY	1.7755	7.3379
5371102	BAKERY	0.023256	0.1525
10857465	BAKERY	0.086957	0.46313
180	SWEET	15.531	26.8
262	SWEET	19.618	29.212
264	SWEET	1.1633	4.6339
323	SWEET	32.837	33.168
702	SWEET	26.833	34.002
750	SWEET	28.095	32.693
753	SWEET	9.2857	27.306
962	SWEET	10.64	18.536
1031	SWEET	14.1	22.895
3102	SWEET	4.7708	12.263
3314	SWEET	26.625	31.674
5862	SWEET	2.4091	11.972
5962	SWEET	3.875	11.514
6274	SWEET	5.5952	14.937
6322	SWEET	13.412	27.152
6506	SWEET	7	13.701
6544	SWEET	12.289	22.268
6561	SWEET	1.4694	5.9865
6669	SWEET	21.071	24.824
7092	SWEET	17.149	25.967
7137	SWEET	27.136	31.168
7302	SWEET	2.1053	7.1727
7476	SWEET	25.939	30.979
7559	SWEET	12.633	22.18
7657	SWEET	44.041	37.316
7770	SWEET	21.612	29.817
7793	SWEET	19.837	29.208
7797	SWEET	39.239	35.087
8025	SWEET	9.5385	20.874
8049	SWEET	39.773	31.14
8094	SWEET	0.79592	4.1331
8419	SWEET	46.312	34.819
8438	SWEET	44.98	36.734
8468	SWEET	25.156	31.164
8815	SWEET	35.511	32.215
8878	SWEET	41.854	39.078
9012	SWEET	2.4583	14.611
10886	SWEET	20.896	31.99
11567	SWEET	9.8333	21.824
12020	SWEET	11.625	25.07
12265	SWEET	9.4583	23.723
12377	SWEET	1.8367	7.5948
15654	SWEET	1	4.7566
16537	SWEET	3.2821	9.744
17898	SWEET	9.8571	22.761
18467	SWEET	9.913	21.955
21363	SWEET	6	18.253
27440	SWEET	0.93617	4.532
31219	SWEET	43.929	35.283
31276	SWEET	43.651	37.218
31283	SWEET	12.85	24.005
60998	SWEET	16.182	29.747
61523	SWEET	15.644	22.507
62089	SWEET	1.7708	6.8734
62351	SWEET	4.6042	16.145
62465	SWEET	7.9583	17.821
251531	SWEET	16.581	28.733
440917	SWEET	16.771	20.741
637758	SWEET	27.814	31.071
853433	SWEET	47.714	34.031
1549025	SWEET	19.638	29.166
2733294	SWEET	17.638	27.549
5281167	SWEET	5.9592	16.719
5281168	SWEET	10.043	24.802
5318599	SWEET	15.479	26.843
5352837	SWEET	24.708	33.181
5364231	SWEET	8.7755	19.293
5371102	SWEET	5.3488	12.515
10857465	SWEET	12.761	26.492
180	FRUIT	6.4688	15.251
262	FRUIT	5.2353	19.128
264	FRUIT	0.061224	0.42857
323	FRUIT	11.02	25.446
